model,accuracy,precision_macro,recall_macro,f1_macro
KNeighborsClassifier,0.5555555555555556,0.3830808080808081,0.379419191919192,0.36287725312970753
LogisticRegression,0.6666666666666666,0.40018315018315015,0.3541666666666667,0.3106878306878307
MultinomialNB,0.5740740740740741,0.20757575757575755,0.2727272727272727,0.22875816993464052
