model,accuracy,precision_macro,recall_macro,f1_macro
LogisticRegression,0.6666666666666666,0.41379790552584667,0.4053030303030303,0.3975898418132051
MultinomialNB,0.6481481481481481,0.30915915915915915,0.34722222222222227,0.30004203446826394
KNeighborsClassifier,0.5555555555555556,0.28993855606758834,0.28138528138528135,0.27862834198237924
RandomForest,0.8518518518518519,0.7130647130647131,0.6527777777777778,0.6644749694749694
GradientBoosting,0.8888888888888888,0.7551282051282051,0.7083333333333334,0.7257359307359307
